City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Alice,US,2022-05-27 19:19:23,27.7523,-98.0697,94.55,54,0,11.5
68,Arraial Do Cabo,BR,2022-05-27 19:16:02,-22.9661,-42.0278,75.16,78,0,18.41
69,Kaeo,NZ,2022-05-27 19:21:30,-35.1,173.7833,58.53,75,100,9.44
70,Presidencia Roque Saenz Pena,AR,2022-05-27 19:19:01,-26.7852,-60.4388,60.33,92,100,3.98
71,Ranau,MY,2022-05-27 19:21:30,5.9538,116.6641,68.43,97,99,2.24
72,Georgetown,MY,2022-05-27 19:15:56,5.4112,100.3354,82.33,92,20,2.3
73,Barrow,US,2022-05-27 19:12:03,71.2906,-156.7887,28.42,93,100,13.8
74,Chapais,CA,2022-05-27 19:14:49,49.7834,-74.8492,55.18,94,100,3.09
75,Nikolskoye,RU,2022-05-27 19:14:46,59.7035,30.7861,51.78,97,75,4.09
76,San Jeronimo,PE,2022-05-27 19:21:30,-11.9472,-75.2829,59.72,47,93,2.37
77,Ambon,ID,2022-05-27 19:21:31,-3.6954,128.1814,77.14,94,40,3.44
78,Mago,RU,2022-05-27 19:21:31,53.2514,140.1822,43.34,86,100,7.96
79,Escanaba,US,2022-05-27 19:17:51,45.7453,-87.0646,65.52,60,75,12.66
80,Nemuro,JP,2022-05-27 19:21:31,43.3236,145.575,50.16,97,100,30.44
81,Altus,US,2022-05-27 19:21:31,34.6381,-99.334,90.52,26,0,12.66
82,Zhangye,CN,2022-05-27 19:21:32,38.9342,100.4517,67.12,31,96,6.82
83,Burmakino,RU,2022-05-27 19:21:32,57.4166,40.2369,51.37,93,100,6.71
84,Haizhou,CN,2022-05-27 19:21:32,34.5817,119.1289,70.12,31,100,5.75
85,Saint-Philippe,RE,2022-05-27 19:15:56,-21.3585,55.7679,71.19,72,0,8.32
86,Vrangel,RU,2022-05-27 19:21:32,42.7297,133.0839,49.21,94,14,7.47
87,Puerto Escondido,MX,2022-05-27 19:15:48,15.85,-97.0667,88.63,58,40,8.05
88,Hermanus,ZA,2022-05-27 19:15:57,-34.4187,19.2345,56.8,84,68,9.28
89,Huarmey,PE,2022-05-27 19:21:33,-10.0681,-78.1522,69.89,69,3,11.92
90,Sabha,LY,2022-05-27 19:21:33,27.0377,14.4283,94.87,7,0,9.62
91,Kodiak,US,2022-05-27 19:19:38,57.79,-152.4072,56.71,58,0,6.91
92,Del Rio,US,2022-05-27 19:22:33,29.3627,-100.8968,97.23,50,0,13.8
93,Lebu,CL,2022-05-27 19:14:51,-37.6167,-73.65,49.42,65,100,16.2
94,Avarua,CK,2022-05-27 19:15:57,-21.2078,-159.775,78.85,78,75,2.3
95,Tilichiki,RU,2022-05-27 19:17:16,60.4667,166.1,36.21,99,100,0.56
96,Luwuk,ID,2022-05-27 19:22:34,-0.9516,122.7875,76.28,84,100,2.08
97,New Smyrna Beach,US,2022-05-27 19:19:54,29.0258,-80.927,92.19,58,75,8.05
98,Katsuura,JP,2022-05-27 19:14:55,35.1333,140.3,65.26,80,28,6.82
99,Kuytun,RU,2022-05-27 19:22:34,54.3419,101.5036,40.95,63,64,3.6
100,Kavaratti,IN,2022-05-27 19:17:41,10.5669,72.642,82.4,78,100,7.78
101,Carutapera,BR,2022-05-27 19:22:34,-1.195,-46.02,81.41,82,16,5.88
102,Ribeira Grande,PT,2022-05-27 19:22:34,38.5167,-28.7,64.8,94,75,11.5
103,Zboriv,UA,2022-05-27 19:22:35,49.6648,25.141,48.79,93,100,8.3
104,Yar-Sale,RU,2022-05-27 19:17:20,66.8333,70.8333,53.65,51,88,11.16
105,Havelock,US,2022-05-27 19:22:35,34.8791,-76.9013,78.93,79,75,13.8
106,Grand Gaube,MU,2022-05-27 19:16:10,-20.0064,57.6608,70.38,75,0,1.01
107,San Carlos De Bariloche,AR,2022-05-27 19:22:35,-41.1456,-71.3082,42.44,47,0,6.91
108,Fortuna,US,2022-05-27 19:19:46,40.5982,-124.1573,60.93,86,20,10.36
109,Saint George,US,2022-05-27 19:11:30,37.1041,-113.5841,97.63,14,0,10.36
110,Tuktoyaktuk,CA,2022-05-27 19:20:53,69.4541,-133.0374,35.6,80,75,23.02
