,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Kashi,CN,39.4547,75.9797,69.01,49,100,13.42,overcast clouds
349,Salamiyah,SY,35.0113,37.0532,76.89,29,0,5.41,clear sky
350,Kalas,IN,18.1667,74.8,79.99,55,0,18.05,clear sky
351,Traverse City,US,44.7631,-85.6206,72.73,58,75,8.05,broken clouds
352,Puerto Quijarro,BO,-17.7833,-57.7667,95.49,25,0,9.28,clear sky
353,Xining,CN,36.6167,101.7667,53.76,73,100,2.15,overcast clouds
354,Moengo,SR,5.6167,-54.4,86.0,58,34,6.42,scattered clouds
355,Kavieng,PG,-2.5744,150.7967,80.6,75,100,4.27,overcast clouds
356,Lexington,US,37.9887,-84.4777,74.95,67,40,1.01,scattered clouds
357,Laguna,US,38.421,-121.4238,75.43,47,0,9.22,clear sky
358,Mount Gambier,AU,-37.8333,140.7667,47.43,82,100,3.6,overcast clouds
359,Imbituba,BR,-28.24,-48.6703,70.86,85,100,4.43,moderate rain
360,Padang,ID,-0.9492,100.3543,73.45,78,100,3.31,overcast clouds
361,Manukan,PH,8.5333,123.1,79.77,77,98,3.62,overcast clouds
362,Hidalgotitlan,MX,17.7833,-94.6333,82.49,67,93,6.15,overcast clouds
363,Chernyshevskiy,RU,63.0128,112.4714,36.09,61,97,3.02,overcast clouds
364,Lagoa,PT,39.05,-27.9833,58.93,69,89,18.14,light rain
365,Hasaki,JP,35.7333,140.8333,57.6,80,100,5.46,overcast clouds
366,Kavali,IN,14.9167,79.9833,91.9,36,6,7.34,clear sky
367,Port Hardy,CA,50.6996,-127.4199,51.98,76,75,6.91,broken clouds
368,Airai,TL,-8.9266,125.4092,57.33,89,24,1.25,few clouds
369,Terney,RU,45.0503,136.6092,49.5,96,100,1.83,overcast clouds
370,Teya,RU,60.3778,92.6267,47.14,60,42,3.11,scattered clouds
371,Belyy Yar,RU,53.6039,91.3903,46.29,66,0,0.0,clear sky
372,College,US,64.8569,-147.8028,65.46,38,40,0.0,scattered clouds
373,Porto Recanati,IT,43.4365,13.6613,67.71,46,100,10.71,moderate rain
374,Bandarbeyla,SO,9.4942,50.8122,80.85,81,68,24.79,broken clouds
375,Olga,RU,43.7444,135.2892,50.16,94,100,5.84,overcast clouds
376,Yerbogachen,RU,61.2767,108.0108,39.07,57,18,0.85,few clouds
377,Ampanihy,MG,-24.7,44.75,61.59,73,0,9.55,clear sky
378,Khandyga,RU,62.6667,135.6,49.48,66,100,4.38,overcast clouds
379,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,84,100,11.7,overcast clouds
380,Kempten,DE,47.7267,10.3139,55.38,79,82,4.25,broken clouds
381,Gao,ML,16.6362,1.637,97.88,14,27,2.44,scattered clouds
382,Killybegs,IE,54.6333,-8.45,56.91,76,75,11.36,broken clouds
383,Fare,PF,-16.7,-151.0167,80.85,71,5,18.05,clear sky
384,Charcas,MX,23.1333,-101.1167,78.51,22,7,12.77,clear sky
385,Bonavista,CA,48.6499,-53.1147,39.58,84,100,18.39,light rain
386,Chulman,RU,56.8479,124.9104,43.81,94,100,3.76,overcast clouds
387,Zhangye,CN,38.9342,100.4517,59.81,69,92,4.12,overcast clouds
388,Santa Rosa,PH,14.3122,121.1114,80.58,91,80,3.06,broken clouds
389,Hokitika,NZ,-42.7167,170.9667,47.34,77,50,5.75,scattered clouds
390,San Cristobal,VE,7.7669,-72.225,84.38,48,87,7.78,overcast clouds
391,Saryg-Sep,RU,51.5,95.6,45.68,43,38,3.02,scattered clouds
392,Gallup,US,35.5281,-108.7426,76.01,13,0,20.71,clear sky
393,Vostok,RU,46.4856,135.8833,47.57,92,100,4.05,overcast clouds
394,Progreso,MX,21.2833,-89.6667,93.31,64,41,14.29,scattered clouds
395,Antofagasta,CL,-23.65,-70.4,61.88,69,10,7.14,clear sky
396,Acapulco,MX,16.8634,-99.8901,87.62,66,75,5.75,broken clouds
397,Bridlington,GB,54.0831,-0.1919,54.9,75,7,17.52,clear sky
398,Yulin,CN,22.6333,110.15,76.91,96,74,6.64,broken clouds
399,Otane,NZ,-39.8833,176.6333,39.27,83,51,2.06,broken clouds
400,Sungairaya,ID,0.7,108.9,78.91,85,97,3.51,overcast clouds
401,Chifeng,CN,42.2683,118.9636,74.68,25,92,16.31,overcast clouds
402,Port Macquarie,AU,-31.4333,152.9167,49.89,88,7,7.18,clear sky
403,Champerico,GT,14.3,-91.9167,91.94,63,99,6.78,overcast clouds
404,Katobu,ID,-4.9408,122.5276,74.39,94,46,3.22,scattered clouds
405,Aitape,PG,-3.1374,142.3475,77.4,87,15,3.91,few clouds
406,Tabuk,PH,17.4189,121.4443,75.52,92,92,2.3,overcast clouds
407,Grand-Lahou,CI,5.1367,-5.0242,79.52,83,39,6.73,scattered clouds
408,Atherton,GB,53.5237,-2.4935,60.48,60,98,1.99,overcast clouds
409,Sangar,RU,63.9242,127.4739,45.93,67,100,3.11,overcast clouds
410,Kloulklubed,PW,7.0419,134.2556,75.7,79,93,6.44,moderate rain
411,Kharhial,IN,20.2833,82.7667,91.76,23,37,2.73,scattered clouds
412,Grandview,US,38.8858,-94.533,81.82,59,0,20.71,clear sky
413,Pangai,TO,-19.8,-174.35,78.91,83,75,12.66,broken clouds
414,Kilindoni,TZ,-7.9139,39.6668,79.23,77,4,14.74,light rain
415,Waddan,LY,29.1614,16.139,87.6,12,0,13.13,clear sky
416,Goundam,ML,16.4145,-3.6708,103.5,13,1,6.53,clear sky
417,Cherskiy,RU,68.75,161.3,37.81,53,14,4.74,few clouds
418,Beira,MZ,-19.8436,34.8389,73.49,83,40,4.61,scattered clouds
419,San Jeronimo,PE,-11.9472,-75.2829,60.71,43,95,3.2,overcast clouds
420,Arkhara,RU,49.4212,130.0842,50.72,97,100,6.8,overcast clouds
421,Kishtwar,IN,33.3167,75.7667,59.88,80,43,4.27,scattered clouds
422,Evensk,RU,61.95,159.2333,40.17,94,100,0.69,overcast clouds
423,Tiarei,PF,-17.5333,-149.3333,80.62,75,14,16.04,few clouds
424,Rio Gallegos,AR,-51.6226,-69.2181,42.85,52,40,27.63,scattered clouds
425,Cognac,FR,45.5,-0.25,73.0,31,0,14.97,clear sky
426,Silivri,TR,41.0802,28.226,77.05,73,100,3.65,overcast clouds
427,Amos,CA,48.5669,-78.1162,62.13,56,94,8.68,overcast clouds
428,Sokolac,BA,43.9397,18.8017,49.17,99,100,4.09,overcast clouds
429,Broken Hill,AU,-31.95,141.4333,53.87,60,100,5.48,overcast clouds
430,Kathu,TH,7.9178,98.3332,85.75,82,99,17.56,moderate rain
431,Anloga,GH,5.7947,0.8973,81.93,77,46,12.97,scattered clouds
432,Balykshi,KZ,47.0667,51.8667,59.0,88,0,8.95,clear sky
433,Nova Ushytsya,UA,48.8372,27.2743,52.05,83,100,6.22,overcast clouds
434,Bowen,AU,-20.0167,148.2333,64.85,64,5,5.84,clear sky
435,Mali,GN,12.079,-12.2982,72.9,53,79,4.38,broken clouds
436,Husavik,IS,66.0449,-17.3389,48.9,60,6,5.35,clear sky
437,Morant Bay,JM,17.8815,-76.4093,85.62,67,35,13.44,scattered clouds
438,Keuruu,FI,62.2667,24.7,51.98,93,100,5.26,overcast clouds
439,Tukrah,LY,32.5341,20.5791,71.4,77,90,6.49,overcast clouds
440,Udachnyy,RU,66.4167,112.4,44.46,52,55,5.82,broken clouds
441,Te Anau,NZ,-45.4167,167.7167,44.13,91,100,1.5,overcast clouds
442,Kuyanovo,RU,55.8014,54.5372,55.2,94,100,13.2,overcast clouds
443,Awjilah,LY,29.1081,21.2869,94.28,10,0,10.09,clear sky
444,Kungurtug,RU,50.5994,97.5228,41.45,51,12,1.16,few clouds
445,Berea,US,41.3662,-81.8543,70.59,60,75,9.22,broken clouds
446,Port Blair,IN,11.6667,92.75,82.44,89,75,8.05,mist
447,Chapais,CA,49.7834,-74.8492,64.18,40,94,11.65,overcast clouds
448,Vitim,RU,59.4511,112.5578,40.5,66,100,4.38,overcast clouds
449,Basavana Bagevadi,IN,16.5833,75.9667,79.88,60,1,19.55,clear sky
450,Hovd,MN,48.0056,91.6419,60.06,40,26,4.25,scattered clouds
451,Rio Brilhante,BR,-21.8019,-54.5464,90.82,25,31,11.03,scattered clouds
452,Kiunga,PG,-6.1219,141.2906,72.72,99,81,2.06,broken clouds
453,Kavaratti,IN,10.5669,72.642,81.91,79,54,9.4,broken clouds
454,Rawah,IQ,34.4816,41.9093,86.47,11,0,7.27,clear sky
455,Quimper,FR,48.0,-4.1,66.78,37,0,14.97,clear sky
456,Bolitoc,PH,15.7395,119.8769,79.45,83,81,7.76,broken clouds
457,Jizan,SA,17.3333,42.6667,90.54,54,8,1.79,clear sky
458,Zonguldak,TR,41.25,31.8333,56.25,77,2,4.45,clear sky
459,Naze,JP,28.3667,129.4833,67.12,92,100,10.07,light rain
460,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,20,6.91,few clouds
461,Hambantota,LK,6.1241,81.1185,77.34,94,20,4.61,few clouds
462,Warren,US,39.4334,-84.1666,70.95,76,75,4.61,broken clouds
463,Sfantu Gheorghe,RO,45.8667,25.7833,56.93,95,100,1.57,overcast clouds
464,Minab,IR,27.1467,57.0801,89.04,44,0,4.29,clear sky
465,Luwuk,ID,-0.9516,122.7875,76.55,86,100,2.35,overcast clouds
466,Okha,RU,53.5739,142.9478,34.23,99,100,8.9,overcast clouds
467,Clyde River,CA,70.4692,-68.5914,26.83,80,20,12.66,few clouds
468,Svay Rieng,KH,11.0879,105.7993,78.53,83,100,8.08,overcast clouds
469,Calabozo,VE,8.9242,-67.4293,95.0,32,100,6.4,overcast clouds
470,Ishigaki,JP,24.3448,124.1572,80.73,100,40,6.91,scattered clouds
471,Rheda-Wiedenbruck,DE,51.8497,8.3002,57.07,69,16,10.02,few clouds
472,Cidreira,BR,-30.1811,-50.2056,64.18,94,99,5.97,light rain
473,Svetlogorsk,BY,52.6333,29.7333,44.71,89,6,7.16,clear sky
474,Kaitangata,NZ,-46.2817,169.8464,42.12,86,100,3.22,overcast clouds
475,Tuatapere,NZ,-46.1333,167.6833,45.34,92,100,4.43,overcast clouds
476,Rayong,TH,12.8333,101.4333,83.08,99,100,8.61,moderate rain
477,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,87.67,60,24,2.82,few clouds
478,Srednekolymsk,RU,67.45,153.6833,48.31,43,95,2.33,overcast clouds
479,Launceston,AU,-41.45,147.1667,46.04,97,100,3.44,overcast clouds
480,Copiapo,CL,-27.3667,-70.3333,55.09,43,0,7.05,clear sky
481,Turukhansk,RU,65.8167,87.9833,46.11,67,2,7.36,clear sky
482,Chokwe,MZ,-24.5333,32.9833,69.35,73,0,6.11,clear sky
483,Nyagan,RU,62.1406,65.3936,51.13,90,99,5.82,overcast clouds
484,Washington,US,47.5001,-120.5015,60.89,45,100,5.1,overcast clouds
485,Matagami,CA,49.7502,-77.6328,68.11,30,0,12.66,clear sky
486,Caucaia,BR,-3.7361,-38.6531,80.55,82,40,5.75,scattered clouds
487,Laem Sing,TH,12.4816,102.0738,78.73,88,100,8.63,heavy intensity rain
488,Viedma,AR,-40.8135,-62.9967,48.67,45,4,17.05,clear sky
489,Kautokeino,NO,69.0125,23.0412,40.77,97,100,6.08,overcast clouds
490,Lata,PT,40.1629,-8.3327,71.58,52,3,4.59,clear sky
491,Port Lincoln,AU,-34.7333,135.8667,52.84,84,82,7.94,broken clouds
492,Cortegaca,PT,40.9488,-8.6213,75.72,46,0,6.91,clear sky
493,Bacolod,PH,10.6667,122.95,78.26,83,91,3.24,overcast clouds
494,Amahai,ID,-3.3333,128.9167,77.31,86,97,3.6,overcast clouds
495,Araouane,ML,18.9048,-3.5265,103.24,12,51,6.15,broken clouds
496,Nanuque,BR,-17.8392,-40.3539,78.4,64,68,4.68,broken clouds
497,Boddam,GB,57.4667,-1.7833,48.58,85,14,22.37,few clouds
498,Sergeyevka,KZ,53.88,67.4158,53.96,77,16,8.16,few clouds
499,Pimenta Bueno,BR,-11.6725,-61.1936,90.28,42,63,4.12,broken clouds
500,Berlevag,NO,70.8578,29.0864,46.2,81,6,17.27,clear sky
501,Leshukonskoye,RU,64.8989,45.7622,48.34,90,13,5.59,few clouds
502,Kalispell,US,48.1958,-114.3129,55.49,63,100,8.99,overcast clouds
503,Worgl,AT,47.4833,12.0667,53.38,64,100,2.91,overcast clouds
504,Radhanpur,IN,23.8333,71.6,84.58,70,0,19.93,clear sky
505,Westport,US,41.1415,-73.3579,69.82,92,100,4.61,thunderstorm with heavy rain
506,Saldanha,ZA,-33.0117,17.9442,55.45,82,0,9.82,light rain
507,Bac Lieu,VN,9.285,105.7244,78.73,85,100,12.86,light rain
508,Lixourion,GR,38.2019,20.4314,80.6,47,20,9.22,few clouds
509,Soure,BR,-0.7167,-48.5233,80.87,81,67,6.02,broken clouds
510,Carnot,CF,4.9409,15.8665,74.17,78,35,0.78,scattered clouds
511,Huai Yot,TH,7.7893,99.6348,75.78,95,100,4.23,overcast clouds
512,Norrtalje,SE,59.758,18.705,49.42,95,100,4.56,light rain
513,Jiangyou,CN,31.7667,104.7167,68.67,81,100,2.3,overcast clouds
514,Rexburg,US,43.826,-111.7897,52.83,76,100,11.5,overcast clouds
515,Osvaldo Cruz,BR,-21.7967,-50.8786,85.42,28,0,8.14,clear sky
516,Chlorakas,CY,34.8042,32.4083,76.08,44,0,8.05,clear sky
517,Port Hawkesbury,CA,45.6169,-61.3485,68.92,98,100,1.99,overcast clouds
518,Iramuco,MX,19.95,-100.9167,80.71,24,40,5.75,smoke
519,Lasa,IT,46.6166,10.7002,61.68,85,89,5.97,overcast clouds
520,Panguipulli,CL,-39.6333,-72.3333,45.16,63,75,4.43,broken clouds
521,Porto Seguro,BR,-16.4497,-39.0647,75.72,94,75,3.44,broken clouds
522,Netarhat,IN,23.4833,84.2667,72.86,50,5,3.71,clear sky
523,Svetlyy,RU,54.675,20.1347,51.85,89,100,10.09,overcast clouds
524,Ljig,RS,44.2301,20.2382,53.1,93,100,2.1,overcast clouds
525,Machilipatnam,IN,16.1667,81.1333,91.06,52,60,11.95,broken clouds
526,Batticaloa,LK,7.7102,81.6924,81.52,74,94,2.75,overcast clouds
527,Panzhihua,CN,26.5851,101.7128,73.0,74,18,1.39,few clouds
528,Chute-Aux-Outardes,CA,49.1168,-68.399,46.38,93,100,8.05,mist
529,Chicama,PE,-7.8447,-79.1469,64.94,58,7,10.02,clear sky
530,Nemuro,JP,43.3236,145.575,46.18,91,100,14.43,overcast clouds
531,Valente,BR,-11.4122,-39.4619,78.17,59,64,9.8,broken clouds
532,Raudeberg,NO,61.9875,5.1352,43.47,92,99,10.22,light rain
533,Risalpur,PK,34.0619,71.9917,88.38,25,0,7.23,clear sky
534,Manakara,MG,-22.1333,48.0167,68.52,75,100,2.77,overcast clouds
535,Lisakovsk,KZ,52.5369,62.4936,56.43,68,21,9.1,few clouds
536,Sayyan,YE,15.1718,44.3244,67.32,29,10,3.31,clear sky
537,Devgarh,IN,25.5333,73.9,88.77,39,100,15.73,overcast clouds
538,Odweyne,SO,9.4092,45.064,78.44,51,62,14.63,broken clouds
539,Verkhoyansk,RU,67.5447,133.385,42.71,57,8,5.19,clear sky
540,Mount Isa,AU,-20.7333,139.5,47.97,71,7,0.0,clear sky
541,Nouna,BF,12.7333,-3.8667,100.49,19,22,6.04,few clouds
542,Saint-Leu,RE,-21.15,55.2833,68.86,68,4,14.58,clear sky
543,Butajira,ET,8.1167,38.3667,64.44,47,75,2.3,broken clouds
544,Khani,GE,41.9563,42.9566,53.17,92,15,3.94,moderate rain
545,Aksarka,RU,66.5606,67.7975,49.93,48,5,18.37,clear sky
546,Koslan,RU,63.4564,48.8989,50.34,89,30,7.56,scattered clouds
547,Guararapes,BR,-21.2608,-50.6428,85.98,25,0,7.9,clear sky
548,Celestun,MX,20.8667,-90.4,83.77,68,100,11.65,overcast clouds
549,Pakokku,MM,21.3333,95.1,85.53,61,8,12.37,clear sky
550,Tuy Hoa,VN,13.0833,109.3,79.68,75,86,10.8,overcast clouds
551,Basco,PH,20.4487,121.9702,84.13,81,100,16.82,overcast clouds
552,Villa Carlos Paz,AR,-31.4241,-64.4978,58.39,44,26,7.0,scattered clouds
553,Oranjestad,AW,12.524,-70.027,87.75,62,40,24.16,scattered clouds
554,Pontalina,BR,-17.525,-49.4472,84.49,28,61,3.65,broken clouds
555,Whitianga,NZ,-36.8333,175.7,59.38,82,100,13.69,overcast clouds
556,Pinawa,CA,50.1489,-95.8811,72.88,40,100,5.17,overcast clouds
557,Tazovskiy,RU,67.4667,78.7,37.56,85,9,11.36,clear sky
558,Trimbach,CH,47.3656,7.8868,62.24,68,75,1.59,broken clouds
559,Filadelfia,US,39.9523,-75.1638,78.82,65,20,10.36,few clouds
560,Antigonish,CA,45.6169,-61.9986,69.15,88,100,11.01,overcast clouds
561,Astana,KZ,51.1801,71.446,48.15,87,0,6.71,clear sky
562,Guarapari,BR,-20.6667,-40.4975,77.9,68,100,12.24,overcast clouds
563,Selma,US,36.5708,-119.6121,77.02,19,62,11.1,broken clouds
564,Ogulin,HR,45.2661,15.2286,50.61,97,100,4.36,moderate rain
565,Muros,ES,42.7762,-9.0603,75.09,53,0,2.62,clear sky
566,Ambilobe,MG,-13.2,49.05,70.0,84,6,3.65,clear sky
567,Tukuyu,TZ,-9.25,33.65,55.8,93,75,2.26,broken clouds
568,Sept-Iles,CA,50.2001,-66.3821,45.12,95,100,18.41,mist
569,Sawtell,AU,-30.3833,153.1,54.19,93,4,3.44,mist
570,Markova,UA,48.6758,24.4138,47.34,94,100,5.37,overcast clouds
571,Lavrentiya,RU,65.5833,-171.0,34.92,96,98,3.56,overcast clouds
572,La Ronge,CA,55.1001,-105.2842,59.22,54,100,17.27,overcast clouds
573,Orsha,BY,54.5153,30.4053,45.72,86,100,7.72,overcast clouds
574,Soyo,AO,-6.1349,12.3689,73.81,81,0,8.88,clear sky
575,Katherine,AU,-14.4667,132.2667,61.12,63,5,6.91,clear sky
576,At-Bashi,KG,41.1702,75.8106,48.2,86,100,5.3,overcast clouds
577,Labuhan,ID,-6.8844,112.2051,79.34,80,26,2.06,scattered clouds
578,Clarksdale,US,34.2001,-90.5709,79.92,61,0,0.0,clear sky
579,Jalu,LY,29.0331,21.5482,94.15,10,0,10.56,clear sky
580,Kusu,JP,33.2831,131.1514,61.02,70,100,2.39,overcast clouds
581,Staraya Toropa,RU,56.2801,31.6702,42.94,94,100,4.99,overcast clouds
582,Pierre,US,44.3683,-100.351,85.28,42,100,11.01,overcast clouds
583,Magadan,RU,59.5667,150.8,38.66,94,80,4.07,broken clouds
584,Ukiah,US,39.1502,-123.2078,66.43,66,100,3.44,overcast clouds
585,Semey,KZ,50.4111,80.2275,70.5,53,99,9.71,overcast clouds
586,Krasnoborsk,RU,61.5598,45.934,49.44,96,98,2.42,overcast clouds
587,Beidao,CN,34.5686,105.8933,63.46,66,100,4.5,overcast clouds
588,Gamba,GA,-2.65,10.0,72.77,89,11,5.7,few clouds
589,Cairns,AU,-16.9167,145.7667,62.06,100,22,0.0,few clouds
590,Portales,US,34.1862,-103.3344,95.68,9,76,19.39,broken clouds
591,Ashland,US,40.8167,-82.2665,69.28,72,100,5.91,overcast clouds
592,Lannion,FR,48.75,-3.4167,57.15,67,0,10.36,clear sky
593,Synya,RU,65.3718,58.0387,59.02,59,44,7.63,scattered clouds
594,Aban,RU,56.67,96.06,44.04,47,5,5.26,clear sky
595,Pemangkat,ID,1.1667,108.9667,79.45,83,100,5.93,overcast clouds
596,Huarmey,PE,-10.0681,-78.1522,70.3,68,3,11.3,clear sky
597,Uyemskiy,RU,64.4743,40.8524,60.85,51,40,6.71,scattered clouds
598,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,59,20,16.91,few clouds
599,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.6,58,54,4.14,broken clouds
600,Richards Bay,ZA,-28.783,32.0377,68.58,78,0,10.76,clear sky
601,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,93,100,25.32,overcast clouds
602,Tokur,RU,53.1333,132.9,38.77,91,100,3.65,overcast clouds
603,Awbari,LY,26.5921,12.7805,86.05,13,0,6.64,clear sky
604,Parana,AR,-31.732,-60.5238,60.57,78,100,4.47,overcast clouds
605,West Wendover,US,40.7391,-114.0733,56.41,72,100,10.36,overcast clouds
606,Manavalakurichi,IN,8.1333,77.3,79.45,83,100,11.21,overcast clouds
607,Buenos Aires,AR,-34.6132,-58.3772,55.98,72,75,8.05,broken clouds
608,Mizan Teferi,ET,6.9833,35.5833,60.31,98,54,2.53,light rain
609,Marzuq,YE,14.4,46.4667,79.3,54,8,6.87,clear sky
610,Jijiga,ET,9.35,42.8,67.17,64,28,8.39,scattered clouds
611,Pasighat,IN,28.0667,95.3333,73.24,92,35,3.33,scattered clouds
612,Sisimiut,GL,66.9395,-53.6735,38.23,67,33,13.27,scattered clouds
613,Yarada,IN,17.65,83.2667,86.32,84,20,2.3,mist
614,Ihosy,MG,-22.4,46.1167,57.09,84,1,11.63,clear sky
615,Karonga,MW,-9.9333,33.9333,69.13,77,14,4.63,few clouds
616,Kieta,PG,-6.2167,155.6333,78.82,85,100,0.78,light rain
617,Namatanai,PG,-3.6667,152.4333,77.79,80,90,1.99,overcast clouds
618,Havoysund,NO,70.9963,24.6622,48.43,82,66,15.88,broken clouds
619,Alice Town,BS,25.7167,-79.3,80.83,74,0,9.55,clear sky
620,Mayo,US,38.8876,-76.5119,79.66,57,40,10.36,scattered clouds
621,Tari,NG,12.4086,4.4914,99.91,24,59,4.61,broken clouds
622,Mahonda,TZ,-6.45,39.4667,80.71,74,10,16.22,clear sky
623,Mizdah,LY,31.4451,12.9801,78.82,27,0,14.14,clear sky
624,Teguldet,RU,57.3064,88.1667,49.37,53,100,4.21,overcast clouds
625,Leavenworth,US,39.2333,-95.0336,82.6,56,91,7.0,overcast clouds
626,Axim,GH,4.8699,-2.2405,79.45,84,54,9.19,broken clouds
627,Tezu,IN,27.9167,96.1667,71.22,92,30,3.98,scattered clouds
628,Ereymentau,KZ,51.6199,73.1033,50.05,84,100,3.78,overcast clouds
629,Ovsyanka,RU,55.9575,92.5519,40.17,64,46,2.04,scattered clouds
630,Akyab,MM,20.15,92.9,81.93,84,95,3.69,overcast clouds
631,Zaysan,KZ,47.4667,84.8667,68.58,49,99,13.42,moderate rain
632,Paamiut,GL,61.994,-49.6678,34.99,85,99,25.7,overcast clouds
633,Lamu,KE,-2.2717,40.902,80.82,77,33,15.9,scattered clouds
634,Kenora,CA,49.8167,-94.4337,72.57,35,75,5.75,broken clouds
635,Corner Brook,CA,48.9667,-57.9484,44.76,92,100,15.7,overcast clouds
636,Auki,SB,-8.7676,160.7034,75.99,87,88,3.27,overcast clouds
637,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,100,100,6.71,mist
638,Shenjiamen,CN,29.9576,122.298,67.15,98,100,8.68,moderate rain
639,Propria,BR,-10.2111,-36.8403,78.91,77,80,9.42,light rain
640,Soe,ID,-9.8607,124.284,63.16,91,11,4.09,few clouds
641,Tromso,NO,69.6496,18.957,51.82,50,40,5.75,scattered clouds
642,Bani,DO,18.2833,-70.3333,85.86,51,7,14.09,clear sky
643,Ewa Beach,US,21.3156,-158.0072,80.55,74,20,5.75,few clouds
644,Kargat,RU,55.1956,80.2811,59.13,59,100,8.01,overcast clouds
645,Sarangarh,IN,21.6,83.0833,92.66,28,82,4.21,broken clouds
646,Puerto Maldonado,PE,-12.6,-69.1833,88.2,58,40,4.61,scattered clouds
647,Mongo,TD,12.1844,18.693,89.69,7,0,4.68,clear sky
648,Moissala,TD,8.3404,17.7663,80.42,57,85,6.35,overcast clouds
649,Yumen,CN,40.2833,97.2,64.65,47,100,5.59,overcast clouds
650,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,49,19,3.65,few clouds
651,Maniitsoq,GL,65.4167,-52.9,33.04,86,38,19.82,scattered clouds
652,Las Juntas,MX,19.4167,-104.7,91.35,40,15,9.89,few clouds
653,Zhanaozen,KZ,43.3,52.8,70.63,28,0,3.44,clear sky
654,Itainopolis,BR,-7.4469,-41.4783,88.99,39,85,7.72,overcast clouds
655,Abha,SA,18.2164,42.5053,73.22,33,0,4.61,clear sky
656,Presidente Medici,BR,-11.1753,-61.9014,88.52,49,61,3.56,broken clouds
657,Palmas,BR,-10.2128,-48.3603,91.27,33,0,5.75,clear sky
658,Ixtapa,MX,20.7,-105.2,92.41,47,75,10.09,broken clouds
659,Ayan,RU,56.45,138.1667,33.6,98,100,17.94,snow
660,Tugulym,RU,57.0591,64.6425,53.67,96,34,6.46,scattered clouds
661,Creve Coeur,US,38.6609,-90.4226,80.42,55,40,10.36,scattered clouds
662,Faya,SA,18.3851,42.4509,73.51,43,10,2.42,clear sky
663,Santa Ana,US,33.7456,-117.8678,68.72,73,75,6.91,broken clouds
664,Lar,IN,26.2039,83.9717,92.05,37,83,9.33,broken clouds
665,Puerto Escondido,MX,15.85,-97.0667,81.18,78,100,16.75,overcast clouds
666,Buritizeiro,BR,-17.3511,-44.9622,83.5,24,89,1.92,overcast clouds
667,Fayaoue,NC,-20.65,166.5333,77.68,78,1,14.36,clear sky
668,Camargo,MX,27.6667,-105.1667,93.88,13,22,4.56,few clouds
669,Gondanglegi,ID,-7.7479,112.0132,74.44,95,21,3.83,few clouds
670,Byron Bay,AU,-28.65,153.6167,56.71,76,0,12.35,clear sky
671,Shieli,KZ,44.1667,66.75,62.35,50,100,1.21,overcast clouds
672,Angoche,MZ,-16.2325,39.9086,74.48,68,3,10.13,clear sky
673,Dawson Creek,CA,55.7666,-120.2362,44.24,93,100,14.97,mist
674,Praia,CV,14.9215,-23.5087,79.34,65,20,14.97,few clouds
675,Isetskoye,RU,56.4858,65.3226,49.77,95,7,7.18,clear sky
676,Thunder Bay,CA,48.4001,-89.3168,51.78,93,100,12.66,mist
677,Warmbad,NA,-28.45,18.7333,54.9,67,0,9.31,clear sky
678,Carbondale,US,37.7273,-89.2168,76.05,62,20,8.05,few clouds
679,Ust-Kulom,RU,61.6864,53.6902,50.07,97,21,4.9,few clouds
680,Dhidhdhoo,MV,6.8833,73.1,81.86,78,100,17.92,overcast clouds
681,Shimoda,JP,34.6667,138.95,67.23,63,100,2.01,overcast clouds
682,Batagay-Alyta,RU,67.8006,130.4114,25.54,90,26,4.7,scattered clouds
683,Gonaives,HT,19.45,-72.6833,87.87,52,100,7.2,overcast clouds
684,Barra Do Garcas,BR,-15.89,-52.2567,91.98,38,20,9.22,few clouds
685,Bilma,NE,18.6853,12.9164,94.98,8,0,5.99,clear sky
686,Lara,AU,-38.0167,144.4,49.75,88,100,0.0,overcast clouds
687,Yuyao,CN,30.05,121.1494,65.97,97,100,3.22,light rain
688,Tarakan,ID,3.3,117.6333,76.5,94,75,3.44,moderate rain
689,San Jose,US,37.3394,-121.895,74.89,52,75,9.22,broken clouds
690,Salmas,IR,38.1973,44.7653,63.25,54,95,4.25,overcast clouds
691,Alanya,TR,36.5438,31.9998,77.13,54,8,2.98,clear sky
692,Totolapa,MX,18.5167,-96.1833,92.35,44,100,1.81,overcast clouds
693,Haines Junction,CA,60.7522,-137.5108,57.15,33,6,9.22,clear sky
694,Pochutla,MX,15.7432,-96.4661,78.82,76,100,8.81,overcast clouds
695,Brownwood,US,31.7093,-98.9912,96.8,32,0,16.11,clear sky
696,Vaini,TO,-21.2,-175.2,77.16,94,75,5.75,broken clouds
697,Sao Filipe,CV,14.8961,-24.4956,73.63,86,47,9.33,scattered clouds
698,New Norfolk,AU,-42.7826,147.0587,42.93,88,49,1.07,scattered clouds
699,Talnakh,RU,69.4865,88.3972,31.21,87,6,7.43,clear sky
