City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Jeremie,HT,83.66,overcast clouds,18.65,-74.1167,Auberge’Inn
332,Saint George,US,90.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
334,Cutler,US,90.99,scattered clouds,25.6151,-80.3106,Quality Inn Miami South
338,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
339,Asyut,EG,86.74,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
340,Sarangani,PH,83.25,light rain,5.4033,125.4636,JVL Inn and Cafeteria
342,Ifakara,TZ,71.58,broken clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
345,Sanchi,IN,90.72,clear sky,23.4833,77.7333,Hotel Sambodhi
349,Salamiyah,SY,76.89,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
350,Kalas,IN,79.99,clear sky,18.1667,74.8,Aglave wasti
351,Traverse City,US,72.73,broken clouds,44.7631,-85.6206,Bayshore Resort
354,Moengo,SR,86.0,scattered clouds,5.6167,-54.4,Masanga
355,Kavieng,PG,80.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
356,Lexington,US,74.95,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
357,Laguna,US,75.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
360,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
361,Manukan,PH,79.77,overcast clouds,8.5333,123.1,Double Diamond Dequis
362,Hidalgotitlan,MX,82.49,overcast clouds,17.7833,-94.6333,
366,Kavali,IN,91.9,clear sky,14.9167,79.9833,Hotel Mourya Paradise
374,Bandarbeyla,SO,80.85,broken clouds,9.4942,50.8122,JABIR HOTEL
383,Fare,PF,80.85,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
384,Charcas,MX,78.51,clear sky,23.1333,-101.1167,Hotel El Malacate
388,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
390,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
392,Gallup,US,76.01,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
394,Progreso,MX,93.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
396,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
398,Yulin,CN,76.91,broken clouds,22.6333,110.15,罗弟天海大厦
400,Sungairaya,ID,78.91,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
401,Chifeng,CN,74.68,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
403,Champerico,GT,91.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
404,Katobu,ID,74.39,scattered clouds,-4.9408,122.5276,La Ode Husein
405,Aitape,PG,77.4,few clouds,-3.1374,142.3475,
406,Tabuk,PH,75.52,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
407,Grand-Lahou,CI,79.52,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
410,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
411,Kharhial,IN,91.76,scattered clouds,20.2833,82.7667,Jeevan Chhaya
412,Grandview,US,81.82,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
413,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
414,Kilindoni,TZ,79.23,light rain,-7.9139,39.6668,Bustani B&B
415,Waddan,LY,87.6,clear sky,29.1614,16.139,محل الشريف محمد العايب
418,Beira,MZ,73.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
423,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
425,Cognac,FR,73.0,clear sky,45.5,-0.25,Domaine de Pladuc
426,Silivri,TR,77.05,overcast clouds,41.0802,28.226,Çeşmeli Konak Hotel Silivri
430,Kathu,TH,85.75,moderate rain,7.9178,98.3332,Novotel Phuket Resort
431,Anloga,GH,81.93,scattered clouds,5.7947,0.8973,Pin Drop Hotel
435,Mali,GN,72.9,broken clouds,12.079,-12.2982,Hotel La Dame de Mali
437,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
439,Tukrah,LY,71.4,overcast clouds,32.5341,20.5791,Lagrota restaurant
443,Awjilah,LY,94.28,clear sky,29.1081,21.2869,المنزل
446,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
449,Basavana Bagevadi,IN,79.88,clear sky,16.5833,75.9667,DADA WADA PAV CENTER
451,Rio Brilhante,BR,90.82,scattered clouds,-21.8019,-54.5464,Hotel Cattani
452,Kiunga,PG,72.72,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
453,Kavaratti,IN,81.91,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
454,Rawah,IQ,86.47,clear sky,34.4816,41.9093,بيت سميع
456,Bolitoc,PH,79.45,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
457,Jizan,SA,90.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
460,Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,Le Rocher
461,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
464,Minab,IR,89.04,clear sky,27.1467,57.0801,Bam campground
465,Luwuk,ID,76.55,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
468,Svay Rieng,KH,78.53,overcast clouds,11.0879,105.7993,Apsara guesthouse
469,Calabozo,VE,95.0,overcast clouds,8.9242,-67.4293,Hotel Giardini
470,Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
476,Rayong,TH,83.08,moderate rain,12.8333,101.4333,Suan Palm Garden View Hotel
477,Sao Geraldo Do Araguaia,BR,87.67,few clouds,-6.4006,-48.555,Hotel Por do Sol
486,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
487,Laem Sing,TH,78.73,heavy intensity rain,12.4816,102.0738,Laemsing Whitehouse Resort
490,Lata,PT,71.58,clear sky,40.1629,-8.3327,Casa Maquia
492,Cortegaca,PT,75.72,clear sky,40.9488,-8.6213,La Fontaine Hotel
493,Bacolod,PH,78.26,overcast clouds,10.6667,122.95,Planta Hotel & Residences
494,Amahai,ID,77.31,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
496,Nanuque,BR,78.4,broken clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
499,Pimenta Bueno,BR,90.28,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
504,Radhanpur,IN,84.58,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
507,Bac Lieu,VN,78.73,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
508,Lixourion,GR,80.6,few clouds,38.2019,20.4314,Hotel Summery
509,Soure,BR,80.87,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
510,Carnot,CF,74.17,scattered clouds,4.9409,15.8665,
511,Huai Yot,TH,75.78,overcast clouds,7.7893,99.6348,สาม
515,Osvaldo Cruz,BR,85.42,clear sky,-21.7967,-50.8786,Grande Hotel Esplanada
516,Chlorakas,CY,76.08,clear sky,34.8042,32.4083,Elysium Hotel
518,Iramuco,MX,80.71,smoke,19.95,-100.9167,La Hacienda Centro Cultural y de Entretenimiento
521,Porto Seguro,BR,75.72,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
522,Netarhat,IN,72.86,clear sky,23.4833,84.2667,HOTEL PRAKASH
525,Machilipatnam,IN,91.06,broken clouds,16.1667,81.1333,R&B Bungalow
526,Batticaloa,LK,81.52,overcast clouds,7.7102,81.6924,Grand Star Guest House
527,Panzhihua,CN,73.0,few clouds,26.5851,101.7128,Electric Power Hotel
531,Valente,BR,78.17,broken clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
533,Risalpur,PK,88.38,clear sky,34.0619,71.9917,Iqbal Block
537,Devgarh,IN,88.77,overcast clouds,25.5333,73.9,Deogarh Mahal
538,Odweyne,SO,78.44,broken clouds,9.4092,45.064,Eng Hiirey House
547,Guararapes,BR,85.98,clear sky,-21.2608,-50.6428,Hotel Nacional Business
